"","time","minute","minutes_after_dark","period","subject_race"
"628",18:10:00,1090,22,"night","black"
"629",18:18:00,1098,30,"night","white"
"630",18:20:00,1100,32,"night","white"
"631",18:23:00,1103,35,"night","black"
"632",18:23:00,1103,35,"night","white"
"633",18:35:00,1115,47,"night","white"
"634",18:37:00,1117,49,"night","white"
"635",18:50:00,1130,62,"night","black"
"636",18:50:00,1130,62,"night","white"
"637",19:05:00,1145,77,"night","white"
"638",19:10:00,1150,82,"night","black"
"639",19:17:00,1157,89,"night","white"
"640",19:24:00,1164,96,"night","white"
"641",19:28:00,1168,100,"night","black"
"642",19:30:00,1170,102,"night","black"
"643",19:35:00,1175,107,"night","white"
"644",19:39:00,1179,111,"night","black"
"645",19:45:00,1185,117,"night","white"
"646",20:15:00,1215,147,"night","white"
"647",20:30:00,1230,162,"night","white"
"648",20:40:00,1240,172,"night","black"
"649",20:40:00,1240,172,"night","white"
"650",20:45:00,1245,177,"night","white"
"651",20:55:00,1255,187,"night","black"
"652",17:58:00,1078,9,"night","white"
"653",17:58:00,1078,9,"night","white"
"654",18:01:00,1081,12,"night","white"
"655",18:03:00,1083,14,"night","white"
"656",18:05:00,1085,16,"night","white"
"657",18:10:00,1090,21,"night","black"
"658",18:12:00,1092,23,"night","white"
"659",18:15:00,1095,26,"night","white"
"660",18:27:00,1107,38,"night","white"
"661",18:30:00,1110,41,"night","black"
"662",18:30:00,1110,41,"night","white"
"663",18:30:00,1110,41,"night","white"
"664",18:30:00,1110,41,"night","white"
"665",18:36:00,1116,47,"night","white"
"666",18:40:00,1120,51,"night","white"
"667",18:45:00,1125,56,"night","white"
"668",18:50:00,1130,61,"night","black"
"669",19:00:00,1140,71,"night","white"
"670",19:03:00,1143,74,"night","white"
"671",19:05:00,1145,76,"night","black"
"672",19:24:00,1164,95,"night","white"
"673",19:29:00,1169,100,"night","black"
"674",19:30:00,1170,101,"night","white"
"675",19:35:00,1175,106,"night","white"
"676",19:40:00,1180,111,"night","white"
"677",19:40:00,1180,111,"night","white"
"678",19:45:00,1185,116,"night","black"
"679",19:45:00,1185,116,"night","black"
"680",19:46:00,1186,117,"night","black"
"681",19:50:00,1190,121,"night","white"
"682",20:00:00,1200,131,"night","white"
"683",20:05:00,1205,136,"night","black"
"684",20:06:00,1206,137,"night","white"
"685",20:14:00,1214,145,"night","black"
"686",20:27:00,1227,158,"night","white"
"687",20:29:00,1229,160,"night","white"
"688",20:30:00,1230,161,"night","white"
"689",20:39:00,1239,170,"night","white"
"690",20:40:00,1240,171,"night","black"
"691",20:42:00,1242,173,"night","white"
"692",20:45:00,1245,176,"night","white"
"693",20:45:00,1245,176,"night","white"
